long,lat,ID,chloroMonth
-10.332812,53.551327,EB42450_0921,1.419227512
-10.33336915,53.55149476,EB42450_0921,1.419006869
-10.33388131,53.55181735,EB42450_0921,1.41857816
-10.33425621,53.55216367,EB42450_0921,1.418120921
-10.33483534,53.55290976,EB42450_0921,1.417153069
-10.3349882,53.55348867,EB42450_0921,1.416430964
-10.33534221,53.55411557,EB42450_0921,1.415659146
-10.33555921,53.55480208,EB42450_0921,1.414849924
-10.33520494,53.55537719,EB42450_0921,1.414242505
-10.3366617,53.55662465,EB42450_0921,1.412773863
-10.33696089,53.55763684,EB42450_0921,1.411755511
-10.35102473,53.55979297,EB42450_0921,1.400328854
-10.38840894,53.56709984,EB42450_0921,2.084299182
-10.42470894,53.57582269,EB42450_0921,2.147208989
-10.46260598,53.58292198,EB42450_0921,1.519803475
-10.49862856,53.59181887,EB42450_0921,1.159782303
-10.5361389,53.59759054,EB42450_0921,1.054313727
-10.57479408,53.59860697,EB42450_0921,0.979685654
-10.60354193,53.59672051,EB42450_0921,1.041811924
-10.6073369,53.59667656,EB42450_0921,1.061238823
-10.60797974,53.59705395,EB42450_0921,1.061661598
-10.61169657,53.59806319,EB42450_0921,1.061998631
-10.63835355,53.60189403,EB42450_0921,1.066499101
-10.66970742,53.59661567,EB42450_0921,1.050045711
-10.67341124,53.58442243,EB42450_0921,1.040097691
-10.67744989,53.58412842,EB42450_0921,1.03963082
-10.69428171,53.58619987,EB42450_0921,1.038042938
-10.70840913,53.58701239,EB42450_0921,1.03842552
-10.73471768,53.60665318,EB42450_0921,1.028004072
-10.76540913,53.61793308,EB42450_0921,0.979654724
-10.77593726,53.62266821,EB42450_0921,0.905178433
-10.79077194,53.63015381,EB42450_0921,0.849590383
-10.81842261,53.64326405,EB42450_0921,0.741016679
-10.84473437,53.64876419,EB42450_0921,0.72368979
-10.86016218,53.64905886,EB42450_0921,0.713796453
-10.85363571,53.64104218,EB42450_0921,0.772275168
-10.83883642,53.63109646,EB42450_0921,0.839244941
-10.84598127,53.63063363,EB42450_0921,0.841197327
-10.85150745,53.63085427,EB42450_0921,0.839552573
-10.85185059,53.62661955,EB42450_0921,0.86447991
-10.83004212,53.62390161,EB42450_0921,0.883539925
-10.82666411,53.62386909,EB42450_0921,0.884455684
-10.81309367,53.61311145,EB42450_0921,0.972307454
-10.8076353,53.60567966,EB42450_0921,1.046679681
-10.80364705,53.60698876,EB42450_0921,1.019717125
-10.78448517,53.59998358,EB42450_0921,1.105301875
-10.76482,53.59079875,EB42450_0921,1.086535674
-10.75634927,53.59421542,EB42450_0921,1.082636504
-10.7398413,53.58950943,EB42450_0921,1.075435917
-10.73131727,53.59195179,EB42450_0921,1.071278571
-10.72903624,53.59321754,EB42450_0921,1.041915291
-10.70435108,53.58803296,EB42450_0921,1.038136661
-10.66363136,53.5780375,EB42450_0921,1.033177542
-10.62609759,53.56414853,EB42450_0921,1.022165526
-10.58600425,53.549709,EB42450_0921,1.010017042
